epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5842,1.05842,4.58313,1.15119,0.04533,0.43114,0.11081,0.07588,0.92314,3.78719,0.97572,6.468e-05,6.468e-05,6.468e-05
2,53.0528,0.84601,4.28138,1.07034,0.01829,0.86722,0.20393,0.13537,1.00461,3.72779,0.99456,0.000133901,0.000133901,0.000133901
3,58.0305,0.85297,3.97127,1.08992,0.00597,0.96337,0.21873,0.14568,0.99283,3.54374,1.00944,0.000201725,0.000201725,0.000201725
4,61.801,0.91964,3.77192,1.09199,0.00606,0.98901,0.27641,0.20425,0.90289,3.35573,0.96375,0.000268152,0.000268152,0.000268152
5,65.2082,0.85788,3.31174,1.0763,0.94815,0.02564,0.31867,0.22967,1.05594,3.30821,0.99916,0.000333182,0.000333182,0.000333182
6,68.383,0.89202,3.20722,1.0779,0.96881,0.02564,0.43517,0.33395,0.85107,3.11875,0.94068,0.000396815,0.000396815,0.000396815
7,71.6491,0.90954,3.037,1.08353,0.95138,0.1069,0.51264,0.4036,0.91552,2.77401,0.96603,0.00045905,0.00045905,0.00045905
8,75.0016,0.88803,3.05825,1.04406,0.78016,0.36548,0.51747,0.38631,1.08895,2.49592,1.0467,0.000519889,0.000519889,0.000519889
9,78.2521,0.87791,2.80897,1.09692,0.58537,0.56097,0.63809,0.50963,0.84719,2.16333,1.00017,0.00054143,0.00054143,0.00054143
10,81.5308,0.86929,2.74485,1.08142,0.75671,0.46303,0.63433,0.50861,0.79018,2.17161,0.96232,0.000535609,0.000535609,0.000535609
11,84.8125,0.9175,2.50116,1.10017,0.52112,0.52575,0.65283,0.48823,1.06963,1.96922,1.0449,0.000529788,0.000529788,0.000529788
12,88.1532,0.90419,2.42752,1.09304,0.48188,0.61538,0.69141,0.54897,0.86348,1.62131,0.98162,0.000523967,0.000523967,0.000523967
