epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1906,2.12755,5.4041,2.11377,0.75396,0.19487,0.28872,0.18873,1.29177,3.24468,1.14185,0.000137701,0.000137701,0.000137701
2,85.5987,2.00371,3.21619,1.98794,0.4577,0.44676,0.37098,0.23315,1.34024,3.24198,1.11432,0.000275331,0.000275331,0.000275331
3,124.933,2.01142,2.84202,1.94948,0.6215,0.35,0.36499,0.24481,1.18701,3.10087,1.13329,0.000411585,0.000411585,0.000411585
4,165.019,2.00684,2.68008,1.96195,0.25579,0.62491,0.44947,0.26903,1.35244,2.18113,1.24695,0.000410808,0.000410808,0.000410808
5,203.615,1.98512,2.55515,1.92306,0.40001,0.45277,0.46178,0.28603,1.41028,2.44492,1.24446,0.000408743,0.000408743,0.000408743
6,243.51,1.93089,2.43524,1.88105,0.27766,0.59398,0.57482,0.40461,1.24209,2.13402,1.23134,0.000406679,0.000406679,0.000406679
7,283.094,1.92058,2.45413,1.88836,0.54091,0.55952,0.58062,0.36577,1.40699,2.01342,1.34442,0.000404615,0.000404615,0.000404615
8,321.858,1.89748,2.34584,1.87075,0.78313,0.62841,0.81422,0.45073,1.7096,1.61098,1.4981,0.000402551,0.000402551,0.000402551
9,360.396,1.90046,2.31529,1.88174,0.54289,0.72883,0.70264,0.33076,1.87877,1.73757,1.6602,0.000400487,0.000400487,0.000400487
10,398.948,1.88512,2.26444,1.85938,0.45643,0.70757,0.69234,0.42851,1.49806,1.64114,1.40952,0.000398423,0.000398423,0.000398423
11,437.831,1.87479,2.27288,1.85688,0.65936,0.77494,0.81868,0.53213,1.3587,1.25646,1.32883,0.000396358,0.000396358,0.000396358
12,476.908,1.85511,2.2272,1.83745,0.70495,0.79607,0.86295,0.51041,1.5476,1.20744,1.41849,0.000394294,0.000394294,0.000394294
13,515.361,1.84517,2.20998,1.82114,0.63131,0.88751,0.90335,0.59464,1.31248,1.26734,1.32028,0.00039223,0.00039223,0.00039223
14,554.817,1.83222,2.17791,1.82521,0.7339,0.73107,0.81297,0.56357,1.24382,1.37236,1.29632,0.000390166,0.000390166,0.000390166
15,593.347,1.82075,2.1333,1.80522,0.73524,0.81334,0.89665,0.5429,1.61181,2.19348,1.47914,0.000388102,0.000388102,0.000388102
16,631.748,1.8221,2.1356,1.8198,0.80667,0.86594,0.94721,0.56893,1.51707,1.06652,1.45093,0.000386038,0.000386038,0.000386038
17,670.489,1.81533,2.12532,1.80697,0.81173,0.92505,0.96894,0.73502,1.07071,0.80295,1.19393,0.000383974,0.000383974,0.000383974
18,709.044,1.83093,2.13276,1.8151,0.68873,0.84829,0.87292,0.58707,1.26047,1.36226,1.27932,0.000381909,0.000381909,0.000381909
19,747.597,1.80946,2.09568,1.82285,0.74567,0.8373,0.8799,0.55824,1.43601,1.01925,1.35572,0.000379845,0.000379845,0.000379845
20,786.03,1.79622,2.06632,1.79038,0.80082,0.84768,0.92707,0.70192,1.07169,0.91135,1.16957,0.000377781,0.000377781,0.000377781
21,824.13,1.7739,2.04991,1.7803,0.9099,0.82874,0.95578,0.62137,1.32692,0.89531,1.29908,0.000375717,0.000375717,0.000375717
22,862.301,1.76928,2.01625,1.77511,0.70619,0.91084,0.96968,0.69288,1.2414,0.89918,1.27303,0.000373653,0.000373653,0.000373653
23,900.371,1.73473,1.98963,1.76089,0.83304,0.88982,0.95997,0.65802,1.25245,0.81597,1.26119,0.000371589,0.000371589,0.000371589
24,938.669,1.767,1.99755,1.78241,0.84644,0.88628,0.9276,0.72007,0.96858,0.73672,1.14734,0.000369525,0.000369525,0.000369525
25,976.84,1.76627,2.01577,1.77584,0.8447,0.86285,0.96376,0.68816,1.131,0.82155,1.20095,0.00036746,0.00036746,0.00036746
26,1014.96,1.76383,2.02207,1.78788,0.90281,0.96456,0.99365,0.77426,1.00545,0.69208,1.14724,0.000365396,0.000365396,0.000365396
27,1053.62,1.75379,1.95446,1.76794,0.90448,0.89758,0.96591,0.71935,1.01404,0.67386,1.1514,0.000363332,0.000363332,0.000363332
28,1092.01,1.74856,1.95667,1.76731,0.81682,0.85338,0.91145,0.68742,0.97754,0.9074,1.11037,0.000361268,0.000361268,0.000361268
29,1130.13,1.75249,1.94789,1.77003,0.75948,0.81326,0.93051,0.71679,0.92568,0.94669,1.14572,0.000359204,0.000359204,0.000359204
30,1168.42,1.74825,1.98656,1.75575,0.89558,0.87634,0.95764,0.70394,1.02662,0.79532,1.14052,0.00035714,0.00035714,0.00035714
31,1206.83,1.72579,1.94426,1.76702,0.88294,0.92254,0.97144,0.77301,0.86688,0.79058,1.10077,0.000355076,0.000355076,0.000355076
32,1245.01,1.72327,1.91842,1.75264,0.85292,0.87016,0.95749,0.72201,0.99314,0.756,1.12931,0.000353011,0.000353011,0.000353011
33,1283.12,1.71792,1.94822,1.74631,0.82794,0.96434,0.98485,0.72635,1.04882,0.64277,1.15897,0.000350947,0.000350947,0.000350947
34,1321.31,1.69612,1.89618,1.72256,0.91023,0.87962,0.97226,0.71609,0.96502,0.68562,1.11847,0.000348883,0.000348883,0.000348883
35,1359.43,1.7201,1.91097,1.76089,0.87897,0.92097,0.98731,0.76498,0.89675,0.66194,1.09223,0.000346819,0.000346819,0.000346819
36,1397.61,1.71758,1.90856,1.74211,0.87102,0.89893,0.96192,0.70294,1.08624,0.65293,1.15528,0.000344755,0.000344755,0.000344755
37,1435.75,1.68018,1.8723,1.72894,0.85486,0.84997,0.95793,0.6826,1.09367,0.78858,1.16785,0.000342691,0.000342691,0.000342691
38,1473.89,1.67303,1.82776,1.71285,0.87636,0.88185,0.96569,0.74106,0.94978,0.70748,1.10095,0.000340626,0.000340626,0.000340626
39,1512.04,1.71396,1.87866,1.75421,0.88109,0.94684,0.97371,0.76226,0.90833,0.67829,1.10369,0.000338562,0.000338562,0.000338562
40,1550.15,1.66173,1.84772,1.70918,0.96596,0.91423,0.99108,0.70176,1.1496,0.62503,1.18933,0.000336498,0.000336498,0.000336498
41,1588.32,1.67073,1.84561,1.70487,0.88076,0.91151,0.97082,0.77505,0.89122,0.68946,1.05812,0.000334434,0.000334434,0.000334434
42,1626.75,1.67603,1.85399,1.71888,0.92144,0.95131,0.97913,0.7272,1.02112,0.61004,1.11534,0.00033237,0.00033237,0.00033237
43,1665.06,1.65202,1.84421,1.70733,0.95552,0.95071,0.99244,0.77637,0.91659,0.54216,1.06816,0.000330306,0.000330306,0.000330306
44,1703.29,1.63904,1.8223,1.70103,0.93427,0.94403,0.98865,0.81324,0.82474,0.5733,1.02792,0.000328242,0.000328242,0.000328242
45,1741.71,1.68918,1.83311,1.7159,0.88785,0.96497,0.99365,0.70961,1.13789,0.64022,1.15113,0.000326177,0.000326177,0.000326177
46,1780.12,1.65242,1.82175,1.70549,0.91123,0.97204,0.97897,0.79559,0.81923,0.58743,1.04908,0.000324113,0.000324113,0.000324113
47,1818.25,1.64642,1.82327,1.67551,0.92193,0.94912,0.98542,0.77448,0.91751,0.63415,1.06722,0.000322049,0.000322049,0.000322049
48,1856.38,1.65019,1.83165,1.69272,0.94021,0.94216,0.96513,0.78693,0.88121,0.59015,1.05617,0.000319985,0.000319985,0.000319985
49,1894.55,1.6259,1.76897,1.68241,0.9385,0.92846,0.98485,0.75313,0.97997,0.53594,1.09897,0.000317921,0.000317921,0.000317921
